Random Item Generation By Treasure Level 1 - 6							
		Chance By Level					
161	herb2	20	0	0	0	0	0
162	herb3	20	0	0	0	0	0
163	bottle30	20	0	0	0	0	0
164	bottle26	10	5	0	0	0	0
165	bottle23	10	5	0	0	0	0
166	bottle28	10	5	0	0	0	0
167	bottle25	5	10	0	0	0	0
168	bottle24	5	10	0	0	0	0
169	bottle29	5	10	0	0	0	0
170	bottle27	0	0	2	0	0	0
171	bottle27	0	0	2	0	0	0
172	bottle27	0	0	2	0	0	0
173	bottle27	0	0	2	0	0	0
174	bottle27	0	0	2	0	0	0
175	bottle27	0	0	2	0	0	0
176	bottle27	0	0	2	0	0	0
177	bottle27	0	0	2	0	0	0
178	bottle22	0	0	1	0	0	0
179	bottle22	0	0	1	0	0	0
180	bottle22	0	0	1	0	0	0
181	bottle22	0	0	1	0	0	0
182	bottle22	0	0	1	0	0	0
183	bottle22	0	0	1	0	0	0
184	bottle22	0	0	1	0	0	0
185	bottle22	0	0	1	0	0	0
186	bottle22	0	0	1	0	0	0
187	bottle22	0	0	1	0	0	0
188	bottle22	0	0	1	0	0	0
189	bottle30	0	0	0	0	0	0
190	bottle30	0	0	0	0	0	0
191	bottle30	0	0	0	0	0	0
192	bottle30	0	0	0	0	0	0
193	bottle30	0	0	0	0	0	0
194	bottle30	0	0	0	0	0	0
195	bottle30	0	0	0	0	0	0
196	bottle30	0	0	0	0	0	0
197	gold1	0	0	0	0	0	0
198	gold2	0	0	0	0	0	0
199	gold3	0	0	0	0	0	0
200	scroll1	2	2	0	0	0	0
201	scroll1	2	2	0	0	0	0
202	scroll2	2	2	0	0	0	0
203	scroll2	0	2	2	0	0	0
204	scroll3	0	2	2	0	0	0
205	scroll3	0	2	2	0	0	0
206	scroll4	0	0	2	1	0	0
207	scroll4	0	0	2	1	0	0
208	scroll5	0	0	0	1	0	0
209	scroll5	0	0	0	1	0	0
210	scroll5	0	0	0	1	0	0
211	scroll1	2	2	0	0	0	0
212	scroll1	2	2	0	0	0	0
213	scroll2	2	2	0	0	0	0
214	scroll2	0	2	2	0	0	0
215	scroll3	0	2	2	0	0	0
216	scroll3	0	2	2	0	0	0
217	scroll4	0	0	2	1	0	0
218	scroll4	0	0	2	1	0	0
219	scroll5	0	0	0	1	0	0
220	scroll5	0	0	0	1	0	0
221	scroll5	0	0	0	1	0	0
222	scroll1	2	2	0	0	0	0
223	scroll1	2	2	0	0	0	0
224	scroll2	2	2	0	0	0	0
225	scroll2	0	2	2	0	0	0
226	scroll3	0	2	2	0	0	0
227	scroll3	0	2	2	0	0	0
228	scroll4	0	0	2	1	0	0
229	scroll4	0	0	2	1	0	0
230	scroll5	0	0	0	1	0	0
231	scroll5	0	0	0	1	0	0
232	scroll5	0	0	0	1	0	0
233	scroll1	2	2	0	0	0	0
234	scroll1	2	2	0	0	0	0
235	scroll2	2	2	0	0	0	0
236	scroll2	0	2	2	0	0	0
237	scroll3	0	2	2	0	0	0
238	scroll3	0	2	2	0	0	0
239	scroll4	0	0	2	1	0	0
240	scroll4	0	0	2	1	0	0
241	scroll5	0	0	0	1	0	0
242	scroll5	0	0	0	1	0	0
243	scroll5	0	0	0	1	0	0
244	scroll1	2	2	0	0	0	0
245	scroll1	2	2	0	0	0	0
246	scroll2	2	2	0	0	0	0
247	scroll2	0	2	2	0	0	0
248	scroll3	0	2	2	0	0	0
249	scroll3	0	2	2	0	0	0
250	scroll4	0	0	2	1	0	0
251	scroll4	0	0	2	1	0	0
252	scroll5	0	0	0	1	0	0
253	scroll5	0	0	0	1	0	0
254	scroll5	0	0	0	1	0	0
255	scroll1	2	2	0	0	0	0
256	scroll1	2	2	0	0	0	0
257	scroll2	2	2	0	0	0	0
258	scroll2	0	2	2	0	0	0
259	scroll3	0	2	2	0	0	0
260	scroll3	0	2	2	0	0	0
261	scroll4	0	0	2	1	0	0
262	scroll4	0	0	2	1	0	0
263	scroll5	0	0	0	1	0	0
264	scroll5	0	0	0	1	0	0
265	scroll5	0	0	0	1	0	0
266	scroll1	2	2	0	0	0	0
267	scroll1	2	2	0	0	0	0
268	scroll2	2	2	0	0	0	0
269	scroll2	0	2	2	0	0	0
270	scroll3	0	2	2	0	0	0
271	scroll3	0	2	2	0	0	0
272	scroll4	0	0	2	1	0	0
273	scroll4	0	0	2	1	0	0
274	scroll5	0	0	0	1	0	0
275	scroll5	0	0	0	1	0	0
276	scroll5	0	0	0	1	0	0
277	scroll1	0	0	1	1	0	0
278	scroll1	0	0	1	1	0	0
279	scroll2	0	0	1	1	0	0
280	scroll2	0	0	1	1	0	0
281	scroll3	0	0	1	1	0	0
282	scroll3	0	0	1	1	0	0
283	scroll4	0	0	0	1	0	0
284	scroll4	0	0	0	1	0	0
285	scroll5	0	0	0	1	0	0
286	scroll5	0	0	0	1	0	0
287	scroll5	0	0	0	1	0	0
288	scroll1	0	0	1	1	0	0
289	scroll1	0	0	1	1	0	0
290	scroll2	0	0	1	1	0	0
291	scroll2	0	0	1	1	0	0
292	scroll3	0	0	1	1	0	0
293	scroll3	0	0	1	1	0	0
294	scroll4	0	0	0	1	0	0
295	scroll4	0	0	0	1	0	0
296	scroll5	0	0	0	1	0	0
297	scroll5	0	0	0	1	0	0
298	scroll5	0	0	0	0	0	0
299		0	0	0	0	0	0
300	book1	0	2	0	0	0	0
301	book1	0	2	0	0	0	0
302	book2	0	0	2	0	0	0
303	book2	0	0	2	0	0	0
304	book3	0	0	0	1	0	0
305	book3	0	0	0	1	0	0
306	book4	0	0	0	0	1	0
307	book4	0	0	0	0	1	0
308	book5	0	0	0	0	0	1
309	book5	0	0	0	0	0	1
310	book5	0	0	0	0	0	1
311	book1	0	2	0	0	0	0
312	book1	0	2	0	0	0	0
313	book2	0	0	2	0	0	0
314	book2	0	0	2	0	0	0
315	book3	0	0	0	1	0	0
316	book3	0	0	0	1	0	0
317	book4	0	0	0	0	1	0
318	book4	0	0	0	0	1	0
319	book5	0	0	0	0	0	1
320	book5	0	0	0	0	0	1
321	book5	0	0	0	0	0	1
322	book1	0	2	0	0	0	0
323	book1	0	2	0	0	0	0
324	book2	0	0	2	0	0	0
325	book2	0	0	2	0	0	0
326	book3	0	0	0	1	0	0
327	book3	0	0	0	1	0	0
328	book4	0	0	0	0	1	0
329	book4	0	0	0	0	1	0
330	book5	0	0	0	0	0	1
331	book5	0	0	0	0	0	1
332	book5	0	0	0	0	0	1
333	book1	0	2	0	0	0	0
334	book1	0	2	0	0	0	0
335	book2	0	0	2	0	0	0
336	book2	0	0	2	0	0	0
337	book3	0	0	0	1	0	0
338	book3	0	0	0	1	0	0
339	book4	0	0	0	0	1	0
340	book4	0	0	0	0	1	0
341	book5	0	0	0	0	0	1
342	book5	0	0	0	0	0	1
343	book5	0	0	0	0	0	1
344	book1	0	2	0	0	0	0
345	book1	0	2	0	0	0	0
346	book2	0	0	2	0	0	0
347	book2	0	0	2	0	0	0
348	book3	0	0	0	1	0	0
349	book3	0	0	0	1	0	0
350	book4	0	0	0	0	1	0
351	book4	0	0	0	0	1	0
352	book5	0	0	0	0	0	1
353	book5	0	0	0	0	0	1
354	book5	0	0	0	0	0	1
355	book1	0	2	0	0	0	0
356	book1	0	2	0	0	0	0
357	book2	0	0	2	0	0	0
358	book2	0	0	2	0	0	0
359	book3	0	0	0	1	0	0
360	book3	0	0	0	1	0	0
361	book4	0	0	0	0	1	0
362	book4	0	0	0	0	1	0
363	book5	0	0	0	0	0	1
364	book5	0	0	0	0	0	1
365	book5	0	0	0	0	0	1
366	book1	0	2	0	0	0	0
367	book1	0	2	0	0	0	0
368	book2	0	0	2	0	0	0
369	book2	0	0	2	0	0	0
370	book3	0	0	0	1	0	0
371	book3	0	0	0	1	0	0
372	book4	0	0	0	0	1	0
373	book4	0	0	0	0	1	0
374	book5	0	0	0	0	0	1
375	book5	0	0	0	0	0	1
376	book5	0	0	0	0	0	1
377	book1	0	0	0	1	0	0
378	book1	0	0	0	1	0	0
379	book2	0	0	0	0	1	0
380	book2	0	0	0	0	1	0
381	book3	0	0	0	0	1	0
382	book3	0	0	0	0	1	0
383	book4	0	0	0	0	0	1
384	book4	0	0	0	0	0	1
385	book5	0	0	0	0	0	1
386	book5	0	0	0	0	0	1
387	book5	0	0	0	0	0	1
388	book1	0	0	0	1	0	0
389	book1	0	0	0	1	0	0
390	book2	0	0	0	0	1	0
391	book2	0	0	0	0	1	0
392	book3	0	0	0	0	1	0
393	book3	0	0	0	0	1	0
394	book4	0	0	0	0	0	1
395	book4	0	0	0	0	0	1
396	book5	0	0	0	0	0	1
397	book5	0	0	0	0	0	1
398	book5	0	0	0	0	0	0
399		0	0	0	0	0	0
591	hlm5icon	12	12	12	34	56	89
592	gontlet3	1	23	1	0	28	66
593	boots4	3	24	0	12	0	55
594	cape4a	4	25	1	1	0	55

		437	827	959	970	928	805

Bonus chance by level %		1	2	3	4	5	6
	Standard	0	40	40	40	40	75
	Special	0	0	10	15	20	25
Weapons	Special %	0	0	10	20	30	50
	(note weapons have no chance for standard just chance for special)						
	(note no Item past 134 needs anything extra)						
	"(note 135 -159 Wands need Charges, Rnd Mod2)"						
